id;filename;timestamp;pano_pos_x;pano_pos_y;pano_pos_z;pano_ori_w;pano_ori_x;pano_ori_y;pano_ori_z;angle_code_(additionalRotationis-90.00);angle_expected;angle_code_(additionalRotation(frommapping)is-95,5377179392511);angle_expected_(additionalRotation(frommapping)is-95,5377179392511);angle_correction;note;html
0;00000-pano.jpg;1705652394.787378;91.558281;-209.332267;1.684425;0.672123;-0.011404;-0.008111;-0.740307;-185,5377179;-185,5377179;-191,0754359;-191,0754359;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_001.html
1;00001-pano.jpg;1705652416.563619;80.893175;-209.340190;1.710865;0.033218;-0.016976;-0.002835;0.999300;-266,1927975;-266,1927975;-271,7305154;-271,7305154;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_002.html
2;00002-pano.jpg;1705652429.554178;74.271898;-209.519702;1.732753;-0.104631;0.001398;0.011445;0.994444;102,0118179;102,0118179;96,47409996;96,47409996;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_003.html
3;00003-pano.jpg;1705652445.550603;69.235697;-214.287005;1.627310;0.735133;0.001532;0.002706;-0.677916;-4,636892599;-184,6368926;-10,17461054;-190,1746105;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_004.html
4;00004-pano.jpg;1705652463.142077;69.554681;-217.490998;1.368415;0.734141;0.006428;-0.005322;-0.678946;-4,469343038;-184,469343;-10,00706098;-190,007061;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_005.html
5;00005-pano.jpg;1705652477.942514;68.081693;-220.587999;1.369552;0.679912;-0.001475;-0.018183;-0.733067;-184,3264851;-184,3264851;-189,864203;-189,864203;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_006.html
8;00008-pano.jpg;1705652549.742041;75.265481;-213.731202;1.677767;0.999528;0.015373;-0.005354;0.026039;-86,48048809;-86,48048809;-92,01820603;-92,01820603;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_009.html
9;00009-pano.jpg;1705652566.602412;86.164344;-211.166407;1.671091;0.996811;0.021810;-0.014000;-0.075472;-80,84610545;-80,84610545;-86,38382339;-86,38382339;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_010.html
10;00010-pano.jpg;1705652578.126189;91.446006;-212.074839;1.790972;0.706286;0.009180;-0.020215;-0.707578;0,132905252;-179,8670947;-5,404812687;-185,4048127;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_011.html
11;00011-pano.jpg;1705652586.904754;91.700891;-214.107551;1.782661;0.704480;-0.021221;-0.015867;-0.709229;-180,4248978;-180,4248978;-185,9626157;-185,9626157;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_012.html
13;00013-pano.jpg;1705652606.546998;88.540616;-214.410667;1.798373;0.766156;-0.012932;-0.004754;-0.642507;-169,9801171;-169,9801171;-175,5178351;-175,5178351;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_014.html
14;00014-pano.jpg;1705652655.636325;90.876603;-216.723646;1.801980;0.999579;0.014071;-0.011180;0.022758;-86,67655123;-86,67655123;-92,21426917;-92,21426917;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_015.html
15;00015-pano.jpg;1705652664.696083;89.403320;-216.374997;1.807392;0.999364;0.020825;-0.001089;-0.028916;-85,91381668;-85,91381668;-91,45153461;-91,45153461;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_016.html
19;00019-pano.jpg;1705652766.410439;94.465422;-221.808236;5.037533;0.729221;0.018607;-0.014729;-0.683867;-3,642224068;-183,6422241;-9,179942007;-189,179942;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_020.html
21;00021-pano.jpg;1705652784.546864;98.227416;-221.518117;5.038480;0.998550;0.008826;-0.013846;-0.051275;-83,82741911;-83,82741911;-89,36513705;-89,36513705;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_022.html
24;00024-pano.jpg;1705652820.540618;103.896611;-221.241319;4.776296;-0.052410;0.011312;0.008978;0.998521;96,00849777;96,00849777;90,47077983;90,47077983;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_025.html
26;00026-pano.jpg;1705652865.356969;92.912725;-222.008739;5.034324;-0.010666;-0.102809;0.011413;0.994578;-271,2222573;-271,2222573;-276,7599752;-276,7599752;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_027.html
29;00029-pano.jpg;1705652903.200680;89.233739;-221.181138;5.019154;0.732465;-0.013047;-0.031705;-0.679941;-175,8131231;-175,8131231;-181,350841;-181,350841;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_030.html
31;00031-pano.jpg;1705652929.841702;91.466814;-220.756166;5.031779;0.678368;0.003882;0.021041;-0.734410;4,567458186;-175,4325418;-0,970259753;-180,9702598;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_032.html
32;00032-pano.jpg;1705652940.999357;91.328316;-221.789139;5.036076;0.695048;-0.010658;-0.034137;-0.718074;-181,9379663;-181,9379663;-187,4756842;-187,4756842;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_033.html
35;00035-pano.jpg;1705652985.991797;100.029960;-216.839680;5.021093;0.674870;-0.018213;-0.016946;-0.737517;-185,1118739;-185,1118739;-190,6495919;-190,6495919;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_036.html
36;00036-pano.jpg;1705653031.387193;97.552602;-216.890844;5.026689;0.213449;0.038432;0.023147;0.975924;65,35091278;65,35091278;59,81319484;59,81319484;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_037.html
37;00037-pano.jpg;1705653046.114783;94.122982;-219.580196;5.040841;0.082720;0.027301;0.021063;0.995976;80,51014161;80,51014161;74,97242367;74,97242367;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_038.html
39;00039-pano.jpg;1705653072.348746;90.318977;-218.765851;5.033564;0.002951;0.018365;0.017245;0.999678;89,66183973;89,66183973;84,12412179;84,12412179;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_040.html
43;00043-pano.jpg;1705653113.770326;85.840989;-218.965935;5.031217;0.559543;0.010794;-0.016929;-0.828558;21,95159534;-158,0484047;16,4138774;-163,5861226;-180;wrong/thephotomayalsobeslightlytwistedwrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_044.html
49;00049-pano.jpg;1705653188.316720;87.771096;-213.211000;5.019596;0.697683;0.039133;-0.022170;0.714993;1,517159626;1,517159626;-4,020558313;-4,020558313;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_050.html
50;00050-pano.jpg;1705653200.488946;92.823562;-212.942992;5.017230;0.935246;-0.016453;-0.034677;-0.351912;-131,4642015;-131,4642015;-137,0019194;-137,0019194;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_051.html
51;00051-pano.jpg;1705653207.600090;90.816678;-214.338555;5.032459;-0.117460;0.029414;0.024230;0.992346;103,491071;103,491071;97,95335306;97,95335306;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_052.html
52;00052-pano.jpg;1705653339.407404;95.041449;-216.706369;3.799930;0.005358;-0.010413;0.000840;0.999931;-269,3860154;-269,3860154;-274,9237334;-274,9237334;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_053.html
53;00053-pano.jpg;1705653424.997448;94.174517;-211.672868;1.633496;0.696547;-0.017284;-0.032807;-0.716552;-181,6987304;-181,6987304;-187,2364484;-187,2364484;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_054.html
54;00054-pano.jpg;1705653437.456000;99.654371;-212.993675;1.534636;0.683089;-0.031598;-0.041416;-0.728475;-183,8290017;-183,8290017;-189,3667196;-189,3667196;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_055.html
